(Update 2022/04/23) 生物名 Name	Name	登場回数 Appearance	登場日 Date of appearance	登場日UUID UUID of appearance
淡い黄色の虫(虫)	Pale yellow worm (insect)	1	2021/10/05	be2f5bde-fe95-399a-844a-edbd08c6323c
大きい魚(魚類)	Large fish (fish)	1	2021/10/30	c7c86384-3b3e-b43f-e259-b3db232ce187
鶏(鳥類)	Chicken (birds)	1	2021/11/04	9cb75eed-4810-12a4-dcd3-485a35c5d7eb
ドジョウ(魚類)	Loach (fish)	1	2021/11/25	38f5bb2f-97eb-7300-acf8-8e3456fa322c
カワウソ(哺乳類)	Otter (mammal)	1	2021/12/02	6a96ae18-8bae-8bab-441b-f69f796d128e
イシダイのような白黒の縦縞の魚(魚類)	Fish with black-and-white vertical stripes, such as Oplegnathus fasciatus (fish)	1	2021/12/05	4b0d5b88-c576-eb45-2821-3ced0c544d87
ジンベイザメ(魚類)	Whale shark (fish)	1	2021/12/05	4b0d5b88-c576-eb45-2821-3ced0c544d87
虎(哺乳類)	Tiger (mammal)	1	2022/01/22	ed685280-6a84-e52d-b5a2-6a30cfe12dcf
雀(鳥類)	Sparrow (birds)	1	2022/01/24	62cc6fa3-5aa4-058d-de82-61972df517b7
小さい細くて白い犬(哺乳類)	Small, thin, white dog (mammal)	1	2022/02/05	6862ca34-ebf5-7236-2765-ddbf0f22e87b
豚(哺乳類)	Pig (mammal)	1	2022/02/08	cc2de149-a276-cbb3-6c1b-862c21e9ff17
コウモリ(哺乳類)	Bat (mammal)	1	2022/02/27	7dc0a642-89ef-0a89-31ef-ef48b2104c7e
大きいネコ科の動物(哺乳類)	Large cat (mammal)	1	2022/04/02	bc9d8744-3cf3-52b9-0370-b3b3a3fa030a
海外の黒いカブトムシのような甲虫(虫)	Black beetles abroad (insect)	1	2022/04/12	5bcf867c-7e8c-4dd3-e358-cd15e643c07a
